date,wordcount,chapter,work
2016-02-03,5929,9 – 29,The Gods Are Bastards
2016-02-05,4620,9 – 30,The Gods Are Bastards
2016-02-08,4006,9 – 31,The Gods Are Bastards
2016-02-10,4151,9 – 32,The Gods Are Bastards
2016-02-15,4599,9 – 33,The Gods Are Bastards
2016-02-17,4073,9 – 34,The Gods Are Bastards
2016-02-19,5463,9 – 35,The Gods Are Bastards
2016-02-22,2996,9 – 36,The Gods Are Bastards
2016-02-24,6037,9 – 37,The Gods Are Bastards
2016-02-26,6325,9 – 38,The Gods Are Bastards
2016-02-27,6078,"Bonus #14: Judgment and Justice, part 1",The Gods Are Bastards
2016-02-29,4978,10 – 1,The Gods Are Bastards
2016-03-02,4595,10 – 2,The Gods Are Bastards
2016-03-07,5627,10 – 3,The Gods Are Bastards
2016-03-09,4581,10 – 4,The Gods Are Bastards
2016-03-12,5045,10 – 5,The Gods Are Bastards
2016-03-14,4872,10 – 6,The Gods Are Bastards
2016-03-15,4726,10 – 7,The Gods Are Bastards
2016-03-18,3779,10 – 8,The Gods Are Bastards
2016-03-21,5286,10 – 9,The Gods Are Bastards
2016-03-23,4671,10 – 10,The Gods Are Bastards
2016-03-25,5250,10 – 11,The Gods Are Bastards
2016-03-30,6197,10 – 12,The Gods Are Bastards
2016-04-01,5389,10 – 13,The Gods Are Bastards
2016-04-04,6058,10 – 14,The Gods Are Bastards
2016-04-06,4876,10 – 15,The Gods Are Bastards
2016-04-11,4893,10 – 16,The Gods Are Bastards
2016-04-13,5435,10 – 17,The Gods Are Bastards
2016-04-15,6017,10 – 18,The Gods Are Bastards
2016-04-20,3449,10 – 19,The Gods Are Bastards
2016-04-22,4747,10 – 20,The Gods Are Bastards
2016-04-25,4570,10 – 21,The Gods Are Bastards
2016-04-27,4794,10 – 22,The Gods Are Bastards
2016-04-29,4971,10 – 23,The Gods Are Bastards
2016-05-02,3708,10 – 24,The Gods Are Bastards
2016-05-04,3214,10 – 25,The Gods Are Bastards
2016-05-06,4742,10 – 26,The Gods Are Bastards
2016-05-09,5809,10 – 27,The Gods Are Bastards
2016-05-11,5316,10 – 28,The Gods Are Bastards
2016-05-13,5304,10 – 29,The Gods Are Bastards
2016-05-16,5407,10 – 30,The Gods Are Bastards
2016-05-20,5164,10 – 31,The Gods Are Bastards
2016-05-23,4298,10 – 32,The Gods Are Bastards
2016-05-25,5326,10 – 33,The Gods Are Bastards
2016-05-27,4219,10 – 34,The Gods Are Bastards
2016-05-30,5612,10 – 35,The Gods Are Bastards
2016-06-01,6086,10 – 36,The Gods Are Bastards
2016-06-03,3921,10 – 37,The Gods Are Bastards
2016-06-06,5806,10 – 38,The Gods Are Bastards
2016-06-08,5748,10 – 39,The Gods Are Bastards
2016-06-11,5105,10 – 40,The Gods Are Bastards
2016-06-13,4860,10 – 41,The Gods Are Bastards
2016-06-15,3240,10 – 42,The Gods Are Bastards
2016-06-17,5371,10 – 43,The Gods Are Bastards
2016-06-20,4118,10 – 44,The Gods Are Bastards
2016-06-22,4377,10 – 45,The Gods Are Bastards
2016-06-27,3882,10 – 46,The Gods Are Bastards
2016-06-29,2545,10 – 47,The Gods Are Bastards
2016-07-04,5391,10 – 48,The Gods Are Bastards
2016-07-06,4096,10 – 49,The Gods Are Bastards
2016-07-08,6196,10 – 50,The Gods Are Bastards
2016-07-11,4693,10 – 51,The Gods Are Bastards
2016-07-13,5405,10 – 52,The Gods Are Bastards
2016-07-15,4204,Epilogue – Volume 3,The Gods Are Bastards
2016-07-19,4441,"Bonus #15: Judgment and Justice, part 2",The Gods Are Bastards
2016-07-25,5429,"Bonus # 16: Justice and Judgment, part 3",The Gods Are Bastards
2016-07-27,6940,"Bonus # 17: Judgment and Justice, part 4",The Gods Are Bastards
2016-07-29,4636,Prologue – Volume 4,The Gods Are Bastards
2016-08-01,5385,11 – 1,The Gods Are Bastards
2016-08-03,4873,11 – 2,The Gods Are Bastards
2016-08-05,4600,11 – 3,The Gods Are Bastards
2016-08-08,4493,11 – 4,The Gods Are Bastards
2016-08-10,4617,11 – 5,The Gods Are Bastards
2016-08-15,2869,11 – 6,The Gods Are Bastards
2016-08-17,4241,11 – 7,The Gods Are Bastards
2016-08-19,4351,11 – 8,The Gods Are Bastards
2016-08-22,5893,11 – 9,The Gods Are Bastards
2016-08-24,5595,11 – 10,The Gods Are Bastards
2016-08-26,4822,11 – 11,The Gods Are Bastards
2016-08-29,4637,11 – 12,The Gods Are Bastards
2016-08-31,4937,11 – 13,The Gods Are Bastards
2016-09-02,4866,11 – 14,The Gods Are Bastards
2016-09-05,5141,11 – 15,The Gods Are Bastards
2016-09-09,4751,11 – 16,The Gods Are Bastards
2016-09-12,3719,11 – 17,The Gods Are Bastards
2016-09-15,4408,11 – 18,The Gods Are Bastards
2016-09-16,4508,11 – 19,The Gods Are Bastards
2016-09-19,5288,11 – 20,The Gods Are Bastards
2016-09-23,4562,11 – 21,The Gods Are Bastards
2016-09-26,4075,11 – 22,The Gods Are Bastards
2016-09-28,5067,11 – 23,The Gods Are Bastards
2016-09-30,4829,11 – 24,The Gods Are Bastards
2016-10-03,5166,11 – 25,The Gods Are Bastards
2016-10-06,3273,11 – 26,The Gods Are Bastards
2016-10-07,3911,11 – 27,The Gods Are Bastards
2016-10-10,5115,11 – 28,The Gods Are Bastards
2016-10-12,4644,11 – 29,The Gods Are Bastards
2016-10-17,4601,11 – 30,The Gods Are Bastards
2016-10-19,4192,11 – 31,The Gods Are Bastards
2016-10-22,5392,11 – 32,The Gods Are Bastards
2016-10-24,4870,11 – 33,The Gods Are Bastards
2016-10-26,4096,11 – 34,The Gods Are Bastards
2016-10-28,5555,11 – 35,The Gods Are Bastards
2016-10-31,4696,11 – 36,The Gods Are Bastards
2016-11-02,5235,11 – 37,The Gods Are Bastards
2016-11-04,3394,11 – 38,The Gods Are Bastards
2016-11-07,4681,11 – 39,The Gods Are Bastards
2016-11-11,3744,11 – 40,The Gods Are Bastards
2016-11-14,3664,11 – 41,The Gods Are Bastards
2016-11-16,4289,11 – 42,The Gods Are Bastards
2016-11-18,4198,12 – 1,The Gods Are Bastards
2016-11-23,5619,12 – 2,The Gods Are Bastards
2016-11-25,4081,12 – 3,The Gods Are Bastards
2016-11-28,4242,12 – 4,The Gods Are Bastards
2016-12-02,4587,12 – 5,The Gods Are Bastards
2016-12-05,5043,12 – 6,The Gods Are Bastards
2016-12-07,4504,12 – 7,The Gods Are Bastards
2016-12-11,4490,12 – 8,The Gods Are Bastards
2016-12-14,3613,12 – 9,The Gods Are Bastards
2016-12-19,4338,12 – 10,The Gods Are Bastards
2016-12-23,4193,12 – 11,The Gods Are Bastards
2016-12-28,4156,12 – 12,The Gods Are Bastards
2016-12-30,4168,12 – 13,The Gods Are Bastards
2017-01-02,4362,12 – 14,The Gods Are Bastards
2017-01-04,5112,12 – 15,The Gods Are Bastards
2017-01-06,4267,12 – 16,The Gods Are Bastards
2017-01-09,4433,12 – 17,The Gods Are Bastards
2017-01-13,3366,12 – 18,The Gods Are Bastards
2017-01-16,5124,12 – 19,The Gods Are Bastards
2017-01-18,4117,12 – 20,The Gods Are Bastards
2017-01-23,3531,12 – 21,The Gods Are Bastards
2017-01-25,4407,12 – 22,The Gods Are Bastards
2017-01-27,4294,12 – 23,The Gods Are Bastards
2017-01-30,3175,12 – 24,The Gods Are Bastards
2017-02-03,3446,12 – 25,The Gods Are Bastards
2017-02-06,4371,12 – 26,The Gods Are Bastards
2017-02-10,3166,12 – 27,The Gods Are Bastards
2017-02-17,3250,12 – 28,The Gods Are Bastards
2017-02-22,3765,12 – 29,The Gods Are Bastards
2017-02-27,4622,12 – 30,The Gods Are Bastards
2017-02-27,3886,12 – 31,The Gods Are Bastards
2017-03-04,4388,12 – 32,The Gods Are Bastards
2017-03-06,3593,12 – 33,The Gods Are Bastards
2017-03-10,4053,12 – 34,The Gods Are Bastards
2017-03-17,3929,12 – 35,The Gods Are Bastards
2017-03-20,5523,12 – 36,The Gods Are Bastards
2017-03-23,4167,12 – 37,The Gods Are Bastards
2017-03-24,2226,12 – 37B,The Gods Are Bastards
2017-03-29,3922,12 – 38,The Gods Are Bastards
2017-03-31,3944,12 – 39,The Gods Are Bastards
2017-04-05,4129,12 – 40,The Gods Are Bastards
2017-04-10,4357,12 – 41,The Gods Are Bastards
2017-04-12,4546,12 – 42,The Gods Are Bastards
2017-04-14,4171,12 – 43,The Gods Are Bastards
2017-04-19,4625,12 – 44,The Gods Are Bastards
2017-04-22,4150,12 – 45,The Gods Are Bastards
2017-04-26,3312,12 – 46,The Gods Are Bastards
2017-04-28,4150,12 – 47,The Gods Are Bastards
2017-05-01,3539,12 – 48,The Gods Are Bastards
2017-05-12,4128,12 – 49,The Gods Are Bastards
2017-05-15,4791,12 – 50,The Gods Are Bastards
2017-05-19,4176,12 – 51,The Gods Are Bastards
2017-05-24,3777,12 – 52,The Gods Are Bastards
2017-05-27,3731,12 – 53,The Gods Are Bastards
2017-06-02,4363,12 – 54,The Gods Are Bastards
2017-06-05,3999,12 – 55,The Gods Are Bastards
2017-06-09,3322,12 – 56,The Gods Are Bastards
2017-06-14,4773,12 – 57,The Gods Are Bastards
2017-06-19,4157,12 – 58,The Gods Are Bastards
2017-06-26,3559,12 – 59,The Gods Are Bastards
2017-07-03,5209,12 – 60,The Gods Are Bastards
2017-07-07,5794,12 – 61,The Gods Are Bastards
2017-07-11,3842,12 – 62,The Gods Are Bastards
2017-07-14,4009,12 – 63,The Gods Are Bastards
2017-07-17,5004,12 – 64,The Gods Are Bastards
2017-07-24,4776,"Bonus #18: Heavy is the Head, part 1",The Gods Are Bastards
2017-07-28,6147,"Bonus #19: Heavy is the Head, part 2",The Gods Are Bastards
2017-07-31,4344,"Bonus #20: Heavy is the Head, part 3",The Gods Are Bastards
2017-08-02,4945,"Bonus #21: Heavy is the Head, part 4",The Gods Are Bastards
2017-08-07,4510,13 – 1,The Gods Are Bastards
2017-08-14,4337,13 – 2,The Gods Are Bastards
2017-08-18,3939,13 – 3,The Gods Are Bastards
2017-08-21,4487,13 – 4,The Gods Are Bastards
2017-08-25,5782,13 – 5,The Gods Are Bastards
2017-08-30,3581,13 – 6,The Gods Are Bastards
2017-09-03,4428,13 – 7,The Gods Are Bastards
2017-09-04,4446,13 – 8,The Gods Are Bastards
2017-09-08,4550,13 – 9,The Gods Are Bastards
2017-09-11,4915,13 – 10,The Gods Are Bastards
2017-09-18,4365,13 – 11,The Gods Are Bastards
2017-09-22,3904,13 – 12,The Gods Are Bastards
2017-09-24,4622,13 – 13,The Gods Are Bastards
2017-10-02,3824,13 – 14,The Gods Are Bastards
2017-10-06,3959,13 – 15,The Gods Are Bastards
2017-10-09,5250,13 – 16,The Gods Are Bastards
2017-10-16,4312,13 – 17,The Gods Are Bastards
2017-10-20,4738,13 – 18,The Gods Are Bastards
2017-10-23,5241,13 – 19,The Gods Are Bastards
2017-10-30,4471,13 – 20,The Gods Are Bastards
2017-11-03,3828,13 – 21,The Gods Are Bastards
2017-11-06,5353,13 – 22,The Gods Are Bastards
2017-11-13,4731,13 – 23,The Gods Are Bastards
2017-11-20,5005,13 – 24,The Gods Are Bastards
2017-11-24,4428,13 – 25,The Gods Are Bastards
2017-11-28,4290,13 – 26,The Gods Are Bastards
2017-12-04,4506,13 – 27,The Gods Are Bastards
2017-12-08,5863,13 – 28,The Gods Are Bastards
2017-12-11,4263,13 – 29,The Gods Are Bastards
2017-12-15,3871,13 – 30,The Gods Are Bastards
2017-12-18,3684,13 – 31,The Gods Are Bastards
2017-12-25,5256,13 – 32,The Gods Are Bastards
2017-12-30,4655,13 – 33,The Gods Are Bastards
2018-01-01,4709,13 – 34,The Gods Are Bastards
2018-01-05,4815,13 – 35,The Gods Are Bastards
2018-01-08,4861,13 – 36,The Gods Are Bastards
2018-01-15,4823,13 – 37,The Gods Are Bastards
2018-01-17,4535,13 – 38,The Gods Are Bastards
2018-01-22,5008,13 – 39,The Gods Are Bastards
2018-01-26,4698,13 – 40,The Gods Are Bastards
2018-01-29,4213,13 – 41,The Gods Are Bastards
2018-02-02,4658,13 – 42,The Gods Are Bastards
2018-02-05,4352,13 – 43,The Gods Are Bastards
2018-02-10,4440,13 – 44,The Gods Are Bastards
2018-02-12,4902,13 – 45,The Gods Are Bastards
