date,wordcount,chapter,work
2019-09-14,15223,6.44 E,The Wandering Inn
2019-09-17,19270,6.45 E,The Wandering Inn
2019-09-21,16511,6.46 E,The Wandering Inn
2019-09-24,20856,6.47 E,The Wandering Inn
2019-10-12,25757,6.48 T,The Wandering Inn
2019-10-15,27194,6.49,The Wandering Inn
2019-10-19,18625,6.50 I,The Wandering Inn
2019-10-22,19225,6.51 A,The Wandering Inn
2019-10-26,20112,6.52 K,The Wandering Inn
2019-10-29,22281,6.53 K,The Wandering Inn
2019-11-02,22387,6.54 K,The Wandering Inn
2019-11-05,21545,6.55 K,The Wandering Inn
2019-11-09,24315,Interlude – The Titan’s Question,The Wandering Inn
2019-11-12,18272,6.56,The Wandering Inn
2019-11-16,19636,6.57,The Wandering Inn
2019-11-19,18075,6.58,The Wandering Inn
2019-11-23,25502,6.59,The Wandering Inn
2019-11-26,16047,6.60,The Wandering Inn
2019-11-30,28198,Interlude – Talia,The Wandering Inn
2019-12-03,17820,6.61 L,The Wandering Inn
2019-12-07,27626,6.62 L,The Wandering Inn
2019-12-11,15140,Interlude – Foliana,The Wandering Inn
2019-12-14,24531,6.63 P,The Wandering Inn
2019-12-18,24456,6.64,The Wandering Inn
2019-12-22,29334,6.65,The Wandering Inn
2019-12-25,16832,6.66 H,The Wandering Inn
2019-12-29,20575,6.67,The Wandering Inn
2020-01-01,24712,6.68,The Wandering Inn
2020-01-19,16320,7.00,The Wandering Inn
2020-01-22,24157,7.01,The Wandering Inn
2020-01-26,28684,7.02,The Wandering Inn
2020-01-29,30313,7.03,The Wandering Inn
2020-01-30,5451,Mini Stories – Crabs and Drinks,The Wandering Inn
2020-02-01,22796,7.04,The Wandering Inn
2020-02-04,12001,Interlude – Queens and Dragons,The Wandering Inn
2020-02-09,35014,7.05 P,The Wandering Inn
2020-02-12,18124,7.06,The Wandering Inn
2020-02-16,25218,7.07,The Wandering Inn
2020-02-19,22333,7.08 K,The Wandering Inn
2020-02-23,32355,7.09 K,The Wandering Inn
2020-02-26,28584,7.10 K,The Wandering Inn
2020-03-01,26582,7.11,The Wandering Inn
2020-03-03,11505,Interlude – Dancing and Brawling,The Wandering Inn
2020-03-04,6543,Interlude – Chocolate Gold,The Wandering Inn
2020-03-05,7610,Interlude – Chess and Ships,The Wandering Inn
2020-03-06,15351,Interlude – Chocolate Alchemy,The Wandering Inn
2020-03-07,16250,Interlude – Lifting Ants,The Wandering Inn
2020-03-08,19308,Interlude – Burning Alcohol,The Wandering Inn
2020-03-09,4548,Interlude – The Hangover After,The Wandering Inn
2020-03-15,23895,7.12 G,The Wandering Inn
2020-03-18,28424,7.13 K,The Wandering Inn
2020-03-21,30290,Mating Rituals Pt.2,The Wandering Inn
2020-03-24,15631,7.14 T,The Wandering Inn
2020-03-29,34752,7.15 R,The Wandering Inn
2020-03-31,25368,7.16 L,The Wandering Inn
2020-04-12,23649,7.17 S,The Wandering Inn
2020-04-15,29159,7.18 M,The Wandering Inn
2020-04-19,34911,Interlude – Strategists at Sea (Pt. 1),The Wandering Inn
2020-04-22,28545,Interlude – Strategists at Sea (Pt. 2),The Wandering Inn
2020-04-26,21020,7.19,The Wandering Inn
2020-04-29,33813,7.20,The Wandering Inn
2020-05-03,25691,Interlude – A Night in the Inn,The Wandering Inn
2020-05-06,23786,7.21 KQ,The Wandering Inn
2020-05-10,24935,7.22 D,The Wandering Inn
2020-05-13,28195,7.23 LM,The Wandering Inn
2020-05-24,27186,7.24,The Wandering Inn
2020-05-27,24978,7.25,The Wandering Inn
2020-05-31,29833,7.26,The Wandering Inn
2020-06-03,19352,7.27,The Wandering Inn
2020-06-07,25603,Interlude – The Gecko of Illusions,The Wandering Inn
2020-06-10,22446,7.28,The Wandering Inn
2020-06-14,26647,7.29 B,The Wandering Inn
2020-06-24,27313,7.30,The Wandering Inn
2020-06-28,33967,7.31,The Wandering Inn
2020-07-01,27272,Interlude – A Meeting of [Druids],The Wandering Inn
2020-07-05,23935,7.32 D,The Wandering Inn
2020-07-08,19498,7.33 I,The Wandering Inn
2020-07-12,30951,7.34 C,The Wandering Inn
2020-07-15,22027,7.35 C,The Wandering Inn
2020-07-19,25527,7.36 C,The Wandering Inn
2020-07-29,23116,7.37,The Wandering Inn
2020-08-02,20424,7.38,The Wandering Inn
2020-08-05,30164,7.39 A,The Wandering Inn
2020-08-08,11223,Interlude – Carriages and Conversations,The Wandering Inn
2020-08-09,13581,Interlude – Meetings and Friendships,The Wandering Inn
