date,wordcount,chapter,work,author
2019-07-06,1694,Over the wall,Chrysalis,RinoZ
2019-07-07,1214,The beast itself,Chrysalis,RinoZ
2019-07-08,1285,Flight from Liria,Chrysalis,RinoZ
2019-07-10,1290,The escape,Chrysalis,RinoZ
2019-07-12,1237,Advance,Chrysalis,RinoZ
2019-07-13,1308,Fleeing south (again),Chrysalis,RinoZ
2019-07-14,1322,Reunite with the family,Chrysalis,RinoZ
2019-07-15,1716,Mother of Planning,Chrysalis,RinoZ
2019-07-17,1516,War Council Part 1,Chrysalis,RinoZ
2019-07-18,1379,War Council Part 2,Chrysalis,RinoZ
2019-07-20,1447,Crinis Evolves,Chrysalis,RinoZ
2019-07-21,1237,"New Crinis, Spending up",Chrysalis,RinoZ
2019-07-22,1057,Belonging,Chrysalis,RinoZ
2019-07-23,1557,Consultation,Chrysalis,RinoZ
2019-07-25,1339,The forward HQ,Chrysalis,RinoZ
2019-07-27,1408,The first ambush,Chrysalis,RinoZ
2019-07-29,1329,The first ambush part 2,Chrysalis,RinoZ
2019-07-30,1607,Musings,Chrysalis,RinoZ
2019-08-01,1263,Regroup,Chrysalis,RinoZ
2019-08-03,1174,Stepping forward,Chrysalis,RinoZ
2019-08-04,1384,Crafting the future,Chrysalis,RinoZ
2019-08-06,1290,The third ambush part 1,Chrysalis,RinoZ
2019-08-08,991,The third Ambush Part 2,Chrysalis,RinoZ
2019-08-09,1231,The third Ambush Part 3,Chrysalis,RinoZ
2019-08-10,1413,Third ambush part 4,Chrysalis,RinoZ
2019-08-12,1456,Third ambush part 5,Chrysalis,RinoZ
2019-08-13,1141,Revel,Chrysalis,RinoZ
2019-08-15,1406,All revved up and....,Chrysalis,RinoZ
2019-08-17,1089,Ant + Simian,Chrysalis,RinoZ
2019-08-18,1238,Hatching a plot,Chrysalis,RinoZ
2019-08-19,933,The never ending ambush,Chrysalis,RinoZ
2019-08-21,1082,Planning is hard,Chrysalis,RinoZ
2019-08-22,1199,People Helping People,Chrysalis,RinoZ
2019-08-23,1114,Tussling with Mage Slaves,Chrysalis,RinoZ
2019-08-25,1302,Angry Wizard Lizard,Chrysalis,RinoZ
2019-08-27,1259,Ride the lightning,Chrysalis,RinoZ
2019-08-28,1372,Cradle of the end times,Chrysalis,RinoZ
2019-08-29,982,Dignity of the Eldest,Chrysalis,RinoZ
2019-08-30,1113,The final stretch begins,Chrysalis,RinoZ
2019-09-01,1454,Tempting fate,Chrysalis,RinoZ
2019-09-03,1247,Go Time,Chrysalis,RinoZ
2019-09-04,1185,Timely Intervention,Chrysalis,RinoZ
2019-09-05,1197,Lightning Crashes,Chrysalis,RinoZ
2019-09-06,1260,Dangerous Games,Chrysalis,RinoZ
2019-09-07,1676,Council Councils,Chrysalis,RinoZ
2019-09-09,1135,At least stamina is levelling up!,Chrysalis,RinoZ
2019-09-10,1188,Get 'em,Chrysalis,RinoZ
2019-09-12,1412,C'MERE,Chrysalis,RinoZ
2019-09-13,1067,Level 40,Chrysalis,RinoZ
2019-09-14,1210,Return and Nest,Chrysalis,RinoZ
2019-09-16,1283,Wrestling with the core,Chrysalis,RinoZ
2019-09-17,974,Crushed,Chrysalis,RinoZ
2019-09-18,990,Evolution Begins!,Chrysalis,RinoZ
2019-09-19,1607,Rounding out the evolution,Chrysalis,RinoZ
2019-09-21,1296,Sinking,Chrysalis,RinoZ
2019-09-23,1188,The soldiers life,Chrysalis,RinoZ
2019-09-25,1315,War Queen,Chrysalis,RinoZ
2019-09-26,1200,The Dark Army,Chrysalis,RinoZ
2019-09-28,1396,The approaching tide,Chrysalis,RinoZ
2019-09-29,1344,Contact,Chrysalis,RinoZ
2019-09-30,1147,The boldest soldier!,Chrysalis,RinoZ
2019-10-02,1399,Pushes and pulls,Chrysalis,RinoZ
2019-10-03,1246,The Queen strode forth,Chrysalis,RinoZ
2019-10-05,1089,The Queen Effect,Chrysalis,RinoZ
2019-10-07,1319,Her time will come,Chrysalis,RinoZ
2019-10-09,1155,The Patient Ones,Chrysalis,RinoZ
2019-10-11,1185,A new perspective,Chrysalis,RinoZ
2019-10-12,1045,Fight for your life,Chrysalis,RinoZ
2019-10-15,1354,Croc around the Block,Chrysalis,RinoZ
2019-10-16,1429,The Leeroy Initiative,Chrysalis,RinoZ
2019-10-18,1000,Shadow Offensive,Chrysalis,RinoZ
2019-10-19,1272,Mosh Pit,Chrysalis,RinoZ
2019-10-21,1225,Gotta go fast!,Chrysalis,RinoZ
2019-10-22,1306,Dreaming,Chrysalis,RinoZ
2019-10-23,1357,Stand against,Chrysalis,RinoZ
2019-10-25,1196,Shaping Up,Chrysalis,RinoZ
2019-10-26,1551,Stay Away,Chrysalis,RinoZ
2019-10-27,1384,The Paragon's Fight,Chrysalis,RinoZ
2019-10-28,1204,Twisted Mind,Chrysalis,RinoZ
2019-10-30,1145,Communal Will,Chrysalis,RinoZ
2019-10-31,1155,Attack the mind,Chrysalis,RinoZ
2019-11-02,1377,It's gettin' hot!,Chrysalis,RinoZ
2019-11-03,1199,The person within,Chrysalis,RinoZ
2019-11-04,1573,Dialogue,Chrysalis,RinoZ
2019-11-06,1245,Sacrifice,Chrysalis,RinoZ
2019-11-07,1182,The Boom Times,Chrysalis,RinoZ
2019-11-08,1321,The Beast Falls,Chrysalis,RinoZ
2019-11-10,1458,"The Conclusion, The Feast",Chrysalis,RinoZ
2019-11-11,1517,"Heat is falling, heat is Rising",Chrysalis,RinoZ
2019-11-13,1370,Food Coma,Chrysalis,RinoZ
2019-11-14,1312,The church of Anthony,Chrysalis,RinoZ
2019-11-15,1235,Unexpected meeting,Chrysalis,RinoZ
2019-11-16,1193,Conversations with a Wizard Lizard,Chrysalis,RinoZ
2019-11-18,1361,Let's get back to business,Chrysalis,RinoZ
2019-11-20,1628,"Aphid Time, Spending up",Chrysalis,RinoZ
2019-11-21,1074,Hello again my old friend,Chrysalis,RinoZ
2019-11-22,876,Search for the Sophos,Chrysalis,RinoZ
2019-11-24,1167,Tunnel Time,Chrysalis,RinoZ
2019-11-25,1257,Shadow Flower,Chrysalis,RinoZ
2019-11-26,872,The Sophos village,Chrysalis,RinoZ
2019-11-27,1483,Formo Returns,Chrysalis,RinoZ
2019-11-29,1263,Day Spa,Chrysalis,RinoZ
2019-12-01,1137,The real art of core shaping,Chrysalis,RinoZ
2019-12-02,1388,The Fires of Industry,Chrysalis,RinoZ
2019-12-04,1319,Road to recovery,Chrysalis,RinoZ
2019-12-05,1231,Hospitality,Chrysalis,RinoZ
2019-12-06,1147,Crinis Evolution,Chrysalis,RinoZ
2019-12-08,1058,Gratuitous Death Sphere,Chrysalis,RinoZ
