date,wordcount,chapter,work,author
2020-08-12,10359,Spilled Ink,Worth the Candle,Alexander Wales
2020-11-26,6911,The Endless Toil,Worth the Candle,Alexander Wales
2020-11-26,6598,Glass Houses,Worth the Candle,Alexander Wales
2020-11-26,6626,Post,Worth the Candle,Alexander Wales
2020-11-26,4058,Bureaucratic Melees,Worth the Candle,Alexander Wales
2020-11-26,7214,A Dragon's Roost,Worth the Candle,Alexander Wales
2020-11-26,6144,A Grueling Calm,Worth the Candle,Alexander Wales
2020-11-26,7551,"Homecoming, Part I",Worth the Candle,Alexander Wales
2020-11-26,10069,Doecent,Worth the Candle,Alexander Wales
2020-11-26,7931,Targets of Opportunity,Worth the Candle,Alexander Wales
